Year,All natural disasters,Drought,Extreme temperature,Extreme weather,Flood,Landslide,Wildfire,TotalCost: All natural disasters,TotalCost: Drought,TotalCost: Extreme temperature,TotalCost: Extreme weather,TotalCost: Flood,TotalCost: Landslide,TotalCost: Wildfire
1970,77.0,2.0,,24.0,31.0,5.0,3.0,3076594000.0,2100000.0,,1064974000.0,1307770000.0,,100000000.0
1971,61.0,7.0,1.0,22.0,15.0,5.0,2.0,1688589000.0,3900000.0,100000000.0,208389000.0,556300000.0,,
1972,63.0,7.0,2.0,26.0,15.0,5.0,3.0,4090413000.0,187000000.0,,2602920000.0,434493000.0,,
1973,60.0,2.0,3.0,22.0,20.0,5.0,3.0,2407043000.0,76000000.0,,539200000.0,1766493000.0,,
1974,68.0,4.0,,28.0,19.0,10.0,3.0,4064944000.0,,,3123017000.0,906972000.0,21700000.0,
1975,63.0,1.0,3.0,28.0,17.0,5.0,2.0,3281365000.0,,600000000.0,1528122000.0,1136243000.0,,
1976,91.0,6.0,,36.0,17.0,6.0,1.0,14240626000.0,,,2889394000.0,607553000.0,100000000.0,
1977,121.0,16.0,1.0,32.0,48.0,3.0,2.0,10187668000.0,3300000000.0,2800000000.0,1209809000.0,737599000.0,11000000.0,24760000.0
1978,115.0,9.0,1.0,42.0,47.0,2.0,3.0,6265521000.0,2326700000.0,,1512698000.0,1111123000.0,,
1979,120.0,11.0,4.0,31.0,34.0,7.0,4.0,4542933000.0,200000000.0,80000000.0,3521869000.0,188283000.0,2466000.0,15090000.0
1980,133.0,14.0,3.0,42.0,39.0,4.0,4.0,32870960000.0,1500000000.0,2000000000.0,1889885000.0,1145100000.0,,25975000.0
1981,138.0,13.0,2.0,50.0,43.0,8.0,4.0,13919519000.0,7460000000.0,,1726604000.0,2822915000.0,,
1982,153.0,13.0,3.0,52.0,48.0,11.0,3.0,11466393000.0,1000000.0,,4500783000.0,3941660000.0,700000000.0,
1983,205.0,32.0,2.0,59.0,49.0,15.0,12.0,16756964000.0,1113954000.0,,5444777000.0,7433216000.0,988800000.0,631650000.0
1984,146.0,8.0,1.0,57.0,47.0,6.0,7.0,9004957000.0,1000000000.0,,5161457000.0,2749500000.0,43000000.0,2000000.0
1985,165.0,3.0,8.0,51.0,58.0,6.0,13.0,17126100000.0,651000000.0,144000000.0,5838203000.0,3756728000.0,,128169000.0
1986,150.0,4.0,2.0,56.0,50.0,9.0,6.0,14117912000.0,500000000.0,1750000000.0,5056742000.0,3801950000.0,,
1987,191.0,15.0,6.0,58.0,68.0,13.0,8.0,14778065000.0,,,6569945000.0,5434695000.0,625800000.0,210000000.0
1988,200.0,17.0,6.0,60.0,76.0,15.0,,26383612000.0,1801287000.0,600000.0,2426376000.0,7753849000.0,,
1989,172.0,7.0,5.0,73.0,46.0,15.0,3.0,27426740000.0,1600000000.0,,10353299000.0,3896100000.0,423341000.0,4283200000.0
1990,278.0,12.0,13.0,137.0,60.0,4.0,4.0,48629822000.0,6601739000.0,89250000.0,26597935000.0,4440448000.0,,1695000000.0
